iso3,total_population,population_density,urbanization_rate,population_growth_pct,literacy_rate_unesco,life_expectancy,gdp_total_usd,gdp_per_capita_ppp,real_gdp_growth_pct,inflation_pct_wb,unemployment_rate,military_expenditure_pct_gdp,military_expenditure_constusd,wgi_gov_effectiveness,Corruption_Perception_Index_2024_iso3
ABW,-0.2612474314089808,0.2151310334974457,-0.7785033104112524,-0.6624448740723005,0.2580697960827666,0.36617701947294407,-0.21081253542646927,0.5913750776287601,0.16843182900544926,0.20706469766345553,0.26726383241921353,-0.1577769425699707,-0.0681994544990736,0.8594901703401606,-0.16741217369739056
AFG,0.029668911239434728,-0.17058981490753783,-1.5167296417796587,0.6558235437916905,-4.204594617078359,-1.08528166741502,-0.2049219107814992,-0.954507262491015,-0.07827812581249452,0.7057412339649718,-1.3229192919985637,-0.1577769425699707,-0.06819945453447158,-2.0117162716088317,-1.364108114601902
AGO,-0.003433995910356959,-0.19488526986397678,0.262881262110868,1.2519379671218362,-1.3400738072056944,-1.2847552493114267,-0.17561222752205205,-0.7437394925000489,-0.34989446014566006,-1.0449376391728564,-1.5515973670932102,-0.24582654718752733,-0.06819945341463479,-1.002413591615839,-0.5836542400989598
ALB,-0.24268240418853868,-0.1423010516218074,0.08877730947303261,-1.4156254595894855,0.7719031855667217,0.823221919036717,-0.20218392129657456,-0.2656688543115765,0.11646397135405849,0.26278279904315527,-0.727260832919694,-0.09217800728397464,-0.06819945451129289,0.2975340425410294,-0.06335165709699823
AND,-0.26143390396726174,-0.09302713546666753,1.0763324347046792,0.21312144451046466,0.2580697960827666,1.4476670742117184,-0.21075334757663677,1.5590261297544885,-0.0985082954872549,0.20706469766345553,0.26726383241921353,-0.1577769425699707,-0.0681994544990736,1.561177908576277,-0.16741217369739056
ARE,-0.18824013555696384,-0.11305465788640895,1.0765455362378955,1.817431265080659,0.7314438538378999,1.2884258226554903,0.010547233815400563,1.717378542435861,0.06595388265944278,0.2923168526298438,0.8605748689992503,-0.1577769425699707,-0.0681994544990736,1.6941308052092592,1.2894350587081018
ARG,0.05840100941316703,-0.2035475990646192,1.2761790525550605,-0.5102251635964735,0.2580697960827666,0.5127577474955513,0.06776235296021976,0.05319362774235645,-0.76492836675709,0.20706469766345553,-0.262862415233902,-0.5668867602702747,-0.06819945345253577,-0.3508818466619156,-0.323502948597979
ARM,-0.2409591143438178,-0.1401940381466641,0.05195336453323115,-0.23192860511106925,0.2580697960827666,0.5227249076216174,-0.2019503817966079,-0.26280101204295075,0.8097054510733653,0.36051146945520784,-1.329570322411924,1.2920668997362545,-0.06819945386469135,-0.15132599954965711,0.19679963440398254
ASM,-0.26166844582027066,-0.040924847831515516,1.0533600894239465,-1.7716846649982276,0.2580697960827666,-0.1263173459849693,-0.19330355222309786,-0.31752615172273924,-0.041116862832377206,0.20706469766345553,0.26726383241921353,-0.1577769425699707,-0.0681994544990736,0.7137109046657893,-0.16741217369739056
ATG,-0.26134623660597506,-0.06310943865769754,-1.6275850593588532,-0.3686656885635963,0.2580697960827666,0.5413142616880557,-0.21151305794920366,0.12792185890785415,0.10460964341038934,0.11944664326217665,0.26726383241921353,-0.1577769425699707,-0.0681994544990736,0.4312219341152178,-0.16741217369739056
